SalePrice,LotArea,GarageArea,GrLivArea,LotFrontage
135000,10410,180,1656,60.0
153337,7018,528,1224,64.0
286000,4923,682,1593,41.0
315000,10570,440,2727,70.0
192000,9017,666,1431,68.0
130000,2522,380,1709,24.0
127000,7180,352,864,60.0
148500,2280,440,1456,24.0
311872,9416,786,1726,79.0
235000,25419,795,3112,174.0
274900,9591,856,1713,76.0
140000,8546,440,1121,80.0
171500,10125,473,1279,75.0
112000,7000,398,1310,50.0
110000,3500,240,1284,50.0
180500,11851,500,1442,99.0
143900,13673,349,1696,40.0
145000,8250,504,1092,75.0
186000,10420,460,1212,83.0
252678,8640,644,1852,72.0
156000,13568,576,990,43.0
134450,10011,447,1236,72.0
210000,8450,484,1436,65.0
107000,9906,210,1328,57.0
167240,3010,438,1248,43.0
204900,8990,675,1498,73.0
179900,11475,434,1552,85.0
97000,10500,576,864,70.0
386250,13472,968,2392,103.0
112000,1680,280,1302,21.0
290000,9950,721,2520,82.0
106000,1869,280,987,21.0
125000,8521,336,912,70.0
192500,3182,430,1555,43.0
148000,8760,312,1194,73.0
403000,15138,810,2794,174.0
94500,1680,288,987,21.0
128200,10650,308,894,75.0
89500,1680,264,987,21.0
185500,8773,494,1414,65.0
318000,12030,818,1694,93.0
113000,8741,220,1487,52.0
262500,9000,750,1566,75.0
79000,5000,352,1440,63.0
120000,10762,288,1217,75.0
241500,10400,604,1872,80.0
137000,9142,440,1928,69.0
140000,11310,451,1375,75.0
180000,11317,500,1668,72.0
235000,4750,538,1625,44.0
173000,8366,520,1640,65.0
158000,9350,309,1302,85.0
145000,8400,294,1314,70.0
230000,8738,429,2291,66.0
207500,8791,673,1728,64.0
220000,8814,660,1604,68.0
231500,12435,564,1792,80.0
97000,12702,308,882,70.0
176000,19296,884,1382,120.0
276000,9588,868,2574,69.0
151000,8471,492,1212,88.0
130000,5500,484,1316,50.0
73000,5232,504,764,30.0
175500,12090,576,1422,78.0
185000,11207,413,1511,70.0
179500,8400,240,2192,60.0
120500,6900,924,778,71.0
266000,10728,1053,1939,84.0
241500,39104,439,1363,73.0
290000,11764,671,2270,92.0
139000,9600,338,1632,80.0
124500,8314,264,816,76.0
205000,7264,672,1548,55.0
201000,9196,573,1560,129.0
141000,19138,400,864,140.0
415298,14450,732,2121,107.0
192000,10005,505,2022,83.0
228500,11287,575,1982,82.0
185000,7200,572,1262,60.0
207500,5063,626,1314,34.0
244600,9612,898,1468,74.0
179200,8012,529,1575,50.0
164700,4251,528,1250,35.0
159000,9786,440,1734,77.0
153575,8730,384,1396,60.0
233230,15611,685,1919,120.0
131000,11409,281,1716,60.0
167000,9600,418,1644,80.0
142500,7937,588,1003,37.0
152000,13710,282,1558,75.0
239000,7399,576,1950,66.0
175000,11700,539,1743,90.0
158500,14000,300,1152,80.0
157000,15750,375,1336,90.0
267000,16226,683,2452,66.0
205000,13704,843,1541,118.0
149900,9800,552,894,70.0
295000,18386,870,3493,87.0
305900,10386,888,2000,80.0
225000,13474,746,2243,116.0
360000,12378,708,1944,90.0
132000,8000,240,972,50.0
119900,7800,410,1118,65.0
375000,215245,513,2036,150.0
178000,9600,546,1641,60.0
188500,7795,432,1432,71.0
260000,13005,484,2353,94.0
270000,9000,1025,1959,75.0
260000,9900,656,2646,90.0
342643,16259,840,2596,111.0
354000,12099,872,2468,99.0
301000,10380,576,2730,86.0
126175,5820,220,1163,49.0
242000,11275,564,2978,96.0
87000,5000,360,803,50.0
324000,10846,473,1719,32.0
145250,11600,292,1383,80.0
78000,6402,189,1192,60.0
139000,8176,308,1056,70.0
284000,10655,880,1629,85.0
207000,8198,484,1358,59.0
192000,9042,472,1638,59.0
377426,14157,676,1922,86.0
214000,9135,532,1536,70.0
202500,14145,440,1621,91.0
155000,12400,297,1215,66.0
202900,14191,431,1908,85.0
82000,8400,294,841,60.0
266000,8849,564,1684,63.0
85000,2592,336,1112,36.0
140200,6435,312,1577,65.0
154000,2448,474,1626,36.0
437154,20431,706,2728,56.0
318061,7820,617,1869,68.0
95000,9084,200,1111,60.0
105900,8520,484,720,60.0
140000,8400,240,1595,60.0
177500,11249,521,1200,105.0
134000,4224,528,1142,44.0
130000,6930,288,1352,92.0
280000,12011,592,1924,78.0
198500,7301,672,1922,64.0
118000,1680,264,987,21.0
147000,10690,468,1344,59.0
165000,9150,296,1431,101.0
132000,7800,244,1268,78.0
134432,17120,680,1588,80.0
125000,7175,264,752,50.0
123000,10634,270,1319,79.0
219500,8200,434,1928,65.0
148000,8846,576,914,57.0
340000,11143,610,2466,102.0
394432,11394,834,1856,88.0
179000,8123,463,1800,60.0
127000,5000,308,1691,50.0
187750,7200,572,1301,60.0
213500,9245,639,1797,79.0
76000,9000,360,784,60.0
192000,3182,430,1269,43.0
125000,7200,352,1125,72.0
191000,9382,577,1479,93.0
426000,12474,846,2332,96.0
119000,8405,384,1367,50.0
215000,12209,560,1961,71.0
109000,10134,240,1034,60.0
129000,9571,596,1144,68.0
123000,7200,600,894,60.0
169500,7590,264,1812,69.0
67000,8967,338,1077,60.0
241000,8125,438,1550,65.0
245500,14963,500,1288,38.0
164990,8767,400,1310,65.0
108000,10200,240,672,60.0
258000,12090,420,2263,93.0
115000,10480,240,1639,51.0
177000,15576,308,1680,63.0
280000,14154,947,2172,109.0
339750,10800,836,2078,85.0
60000,9571,350,1276,68.0
145000,34650,572,1056,100.0
115000,8960,360,1028,56.0
228000,11228,678,2097,59.0
181134,8899,396,1340,73.0
149500,7844,440,1400,74.0
239000,22420,864,2624,86.0
126000,8160,240,1134,60.0
142000,8450,304,1056,65.0
206300,7060,784,1344,78.0
113000,21750,520,988,100.0
315000,9200,696,2630,80.0
139000,9000,297,1196,72.0
135000,3378,240,1389,60.0
109008,8593,352,907,77.0
195400,6762,628,1208,64.0
175000,11457,576,1412,130.0
85400,1680,264,987,21.0
122500,1920,440,1365,24.0
181000,10839,470,1604,100.0
212000,10667,550,1661,43.0
116000,4400,440,1118,40.0
119000,6000,180,904,50.0
90350,4280,352,694,40.0
110000,12354,528,1196,67.0
555000,15431,672,2402,105.0
162900,6240,360,1573,52.0
172500,3922,648,1258,53.0
210000,8750,493,1908,70.0
127500,9855,480,1689,73.0
190000,16492,578,1888,137.0
119500,8600,198,1376,50.0
120000,6000,308,1183,50.0
110000,5684,270,813,70.0
280000,70761,576,1533,62.0
210000,9000,676,1590,75.0
188000,9297,560,1728,63.0
175500,9600,528,1242,80.0
98000,4571,513,1344,34.0
263435,8004,552,1935,75.0
155000,7200,576,1135,60.0
62383,8281,360,864,60.0
188700,11988,240,1660,74.0
167000,10628,526,1277,85.0
146500,9480,312,1644,79.0
250000,11428,866,1634,98.0
187000,9291,506,1710,76.0
190000,11952,534,1969,92.0
148000,3675,525,1072,35.0
440000,14977,908,1976,110.0
251000,5330,499,1652,41.0
132500,8480,624,970,80.0
208900,13125,508,1493,75.0
380000,13693,694,2643,105.0
297000,10637,826,1718,79.0
89471,5925,672,1131,50.0
326000,16033,772,1850,98.0
374000,11846,874,1792,72.0
155000,2500,164,1826,50.0
164000,4500,402,1216,32.0
147000,9600,264,1113,80.0
156000,10289,515,1073,79.0
175000,12243,487,1484,70.0
160000,10800,520,2414,60.0
86000,1526,286,630,21.0
133000,9490,240,1578,79.0
172785,15578,429,1456,105.0
155000,7931,308,1269,70.0
91300,5784,273,886,50.0
184000,9120,240,1820,60.0
130000,7800,288,899,65.0
120000,7535,297,912,70.0
113000,1890,264,1218,21.0
226700,9803,603,1768,75.0
140000,9170,461,1214,70.0
289000,15602,484,1801,100.0
147000,2308,440,1322,24.0
124500,7596,400,1960,60.0
215000,9554,471,1911,80.0
208300,7862,676,1218,75.0
161000,9600,360,1378,60.0
124500,9600,270,1041,80.0
164900,14559,288,1363,75.0
202665,6792,474,1368,40.0
129900,9100,624,864,70.0
134000,9187,484,1080,71.0
96500,10594,200,789,55.0
402861,12220,900,2020,94.0
265000,10208,889,2344,79.0
234000,10918,282,2080,53.0
150000,11988,336,1244,90.0
159000,5000,420,1664,50.0
184750,40094,884,4676,130.0
315750,11787,834,2398,95.0
176000,7500,453,1266,62.0
132000,13300,252,928,70.0
446261,14948,858,2713,67.0
175000,10200,600,1509,85.0
128000,6155,502,1362,60.0
107500,7200,392,827,60.0
178000,9056,403,1414,74.0
188000,8924,527,1724,57.0
315000,14601,765,1838,85.0
213250,10140,583,1680,78.0
133000,4058,367,767,34.0
179665,17104,426,1496,58.0
210000,8737,440,1635,70.0
129500,7244,624,768,54.0
125000,8235,720,825,49.0
263000,9375,615,2094,75.0
140000,4043,440,1069,53.0
112500,6000,288,928,50.0
255500,11146,908,1717,87.0
108000,8777,520,1126,67.0
284000,10625,871,2046,85.0
113000,6380,280,1048,58.0
141000,14850,299,1092,69.0
108000,11040,570,1336,60.0
175000,21872,406,1446,57.0
170000,10010,418,1389,77.0
185000,21780,396,1674,66.0
128000,6858,216,1647,66.0
325000,11198,656,2504,77.0
214000,10171,532,1535,70.0
316600,12327,612,2132,79.0
142600,13101,576,1728,74.0
120000,7332,288,864,60.0
224500,13159,650,1692,83.0
170000,9967,400,1430,76.0
139000,10500,288,1109,70.0
118500,8480,336,1216,80.0
145000,6292,216,1477,52.0
164500,11777,564,1320,96.0
146000,3604,540,1392,34.0
131500,12150,352,1795,81.0
253293,12704,1390,2042,98.0
325000,13500,880,2775,75.0
133000,6120,240,1573,51.0
369900,11443,880,2028,88.0
130000,10267,275,838,55.0
137000,8740,528,860,74.0
143000,25095,452,1473,65.0
79500,9100,308,935,50.0
185900,8320,520,1582,64.0
451950,13478,842,2296,97.0
138000,6600,816,816,60.0
110000,7990,280,924,88.0
319000,11302,758,1826,69.0
114504,3600,216,1368,60.0
194201,3922,648,1402,53.0
217500,12984,621,1647,80.0
151000,1950,452,1556,24.0
275000,10927,736,1904,74.0
141000,9000,544,1375,50.0
220000,10041,506,1915,80.0
151000,3182,480,1200,30.0
221000,12803,530,1494,88.0
205000,13600,486,1986,85.0
152000,12464,576,1040,82.0
225000,7800,230,2008,78.0
359100,12168,380,3194,78.0
118500,7943,261,1029,61.0
137500,8800,480,1054,80.0
105500,7227,528,832,59.0
314813,11694,774,1828,90.0
305000,12244,749,2262,85.0
240000,10800,624,2614,90.0
135000,7064,484,980,71.0
165150,10400,484,1790,80.0
160000,10000,440,1116,87.0
153000,9600,364,1520,80.0
135000,11606,504,2080,70.0
168500,9020,520,1350,82.0
124000,9000,240,1750,50.0
209500,4590,627,1554,34.0
82500,11900,544,1411,85.0
139400,9250,260,1056,80.0
144000,6979,576,1056,64.0
93000,6000,256,1387,50.0
264561,3982,648,1567,53.0
274000,12677,588,1518,62.0
345000,13860,538,2704,75.0
152000,10793,462,1620,80.0
370878,9187,478,1766,85.0
98300,7200,420,1048,60.0
155000,10452,495,1094,85.0
155000,7700,442,1839,70.0
205950,8125,562,1665,65.0
108000,9084,296,1510,60.0
191000,8750,512,1716,70.0
135000,10320,216,1469,60.0
350000,10437,839,2113,91.0
88000,1680,264,1092,21.0
145500,10007,312,1053,72.0
149000,7200,270,1502,60.0
97500,17503,330,1458,78.0
167000,9937,480,1486,75.0
402000,46589,711,2448,52.0
110000,13560,576,1392,120.0
137500,10012,588,1181,90.0
423000,20896,1134,2097,49.0
230500,11194,504,1936,106.0
193500,8125,575,1679,65.0
137500,11600,252,1180,80.0
173500,8633,540,1476,64.0
103600,6629,300,1369,54.0
257500,14442,416,1839,110.0
140000,9200,384,1136,80.0
148500,2289,440,1441,24.0
87000,9600,779,1774,60.0
109500,9022,240,792,52.0
372500,11844,834,2046,80.0
143000,8012,264,923,50.0
159434,4500,281,1520,55.0
285000,11248,702,1668,90.0
221000,16770,486,1839,58.0
227875,10207,578,1761,84.0
392000,8089,567,1419,60.0
194700,7577,460,1362,61.0
755000,21535,832,4316,104.0
335000,26178,628,2519,42.0
108480,5400,326,1073,60.0
141500,6120,576,1539,51.0
176000,13811,551,1137,54.0
89000,6000,205,616,50.0
123500,6420,308,1148,57.0
138500,8450,336,894,65.0
196000,4282,530,1391,59.0
312500,14331,765,1800,85.0
140000,9600,528,1164,80.0
361919,12438,666,2576,82.0
140000,7630,672,1812,76.0
213000,8400,606,1484,70.0
254000,6240,550,1324,48.0
179540,9018,400,1456,65.0
102776,8712,384,1178,66.0
189000,4671,472,1228,40.0
129000,9873,576,960,60.0
165000,10140,478,1350,78.0
159500,10800,704,2554,60.0
157000,10000,439,1178,80.0
341000,10542,983,2418,96.0
128500,9920,300,971,69.0
124500,8120,463,864,70.0
135000,8172,548,1470,60.0
320000,13286,768,1698,86.0
120500,6960,660,864,60.0
194500,7314,632,1232,64.0
110000,11475,888,1776,85.0
103000,6240,539,1208,52.0
236500,5389,608,1616,39.0
187500,9590,438,1146,73.0
222500,11404,541,2031,75.0
131400,10000,264,1144,80.0
163000,10800,320,1768,60.0
93500,8544,400,1040,60.0
239900,10463,800,1801,72.0
190000,9313,572,1728,65.0
132000,9600,360,1432,60.0
142000,6768,288,912,65.0
179000,8450,539,1349,65.0
175000,12886,480,1464,70.0
180000,5395,462,1337,41.0
265979,11700,864,2640,65.0
260400,10593,527,1720,59.0
98000,8405,240,1529,50.0
217000,9236,576,1494,79.0
275500,10240,878,2098,80.0
156000,7930,440,1026,61.0
172500,3230,440,1471,34.0
212000,10769,578,1768,68.0
179400,2280,440,1501,24.0
290000,12257,752,2531,65.0
127500,9100,300,864,70.0
100000,6911,440,1301,60.0
215200,8640,614,1547,72.0
337000,9430,856,2365,82.0
270000,9549,481,1494,30.0
264132,14587,592,1506,75.0
196500,10421,496,1714,80.0
160000,12508,423,1750,75.0
216837,9100,484,1836,70.0
538000,53504,841,3279,47.0
102000,8877,396,1220,67.0
107000,7819,672,1117,94.0
114500,10150,275,912,70.0
395000,14226,895,1973,110.0
162000,4500,412,1204,32.0
221500,11210,865,1614,86.0
142500,13350,440,894,100.0
144000,8400,630,2020,60.0
135000,10530,504,1004,78.0
176000,7875,402,1253,63.0
175900,7153,484,1603,65.0
187100,16285,605,1430,67.0
139000,10800,416,1652,60.0
233000,10142,618,2084,76.0
107900,6000,281,901,50.0
160200,3182,397,1145,43.0
269790,9920,455,2013,92.0
225000,9158,474,1496,76.0
171000,8400,476,1564,70.0
143500,8197,528,1285,71.0
110000,7677,240,773,57.0
485000,13518,820,3140,104.0
175000,7200,240,1768,60.0
200000,12798,603,1688,79.0
109900,4800,440,1196,40.0
189000,8199,410,1456,63.0
582933,13891,1020,2822,107.0
118000,9000,286,1128,75.0
227680,12274,554,1428,91.0
135500,9750,384,980,75.0
223500,21384,528,1576,144.0
159950,13400,484,1086,85.0
106000,8100,360,2138,90.0
181000,10140,484,1309,78.0
55993,8712,504,1044,66.0
157900,9750,301,1442,75.0
116000,8248,280,1250,45.0
224900,12137,598,1661,48.0
155000,8816,440,1052,80.0
224000,6371,484,1358,44.0
183000,7226,595,1640,72.0
93000,6000,576,936,60.0
139500,9900,240,1489,60.0
232600,11216,776,1489,81.0
385000,14803,1220,2084,114.0
189000,8529,527,1434,65.0
147400,2544,480,1223,24.0
166000,11900,458,1392,80.0
151000,3180,480,1200,30.0
237000,9548,613,1829,44.0
167000,10004,472,1516,100.0
139950,7875,456,1144,75.0
128000,9600,436,1067,60.0
153500,8100,812,1559,90.0
100000,1680,264,987,21.0
144000,9525,352,1099,75.0
130500,11767,240,1200,70.0
157500,10440,686,1539,60.0
174900,9020,490,1165,82.0
153900,12665,720,1416,100.0
213000,9317,425,1775,75.0
133500,15523,338,864,36.0
240000,45600,360,2358,75.0
187000,9600,512,1855,80.0
131500,4435,420,848,36.0
164000,7128,240,1646,53.0
170000,17920,454,1779,102.0
174000,8125,343,1481,65.0
152000,10400,479,1370,80.0
189950,7642,216,1426,55.0
131500,11625,504,1039,75.0
152000,9672,480,1097,81.0
132500,7931,672,1148,70.0
250580,8640,529,1372,72.0
248900,10656,870,1646,67.0
129000,6970,544,1120,85.0
236000,9938,574,1949,80.0
109500,6600,308,894,60.0
200500,8750,523,1682,70.0
116000,8892,414,910,74.0
133000,12144,288,1268,60.0
66500,5720,200,1131,52.0
303477,9000,550,2610,75.0
132250,25286,648,1040,94.0
350000,8834,738,2224,74.0
148000,11782,576,1155,88.0
157000,7024,450,1090,60.0
187500,13758,400,1717,44.0
118500,6204,440,2230,60.0
100000,7150,288,892,65.0
328900,5119,506,1709,50.0
145000,8393,588,1712,70.0
135500,16466,300,1393,59.0
268000,15865,621,2217,95.0
149500,12160,505,1505,128.0
122900,8064,576,924,60.0
172500,11184,440,1683,70.0
154500,8414,264,1068,70.0
118858,7018,400,1535,64.0
140000,7056,483,1796,71.0
106500,8765,327,951,50.0
142953,7018,528,2240,64.0
611657,12919,820,2364,100.0
135000,6993,288,1236,65.0
153000,8712,756,1306,64.0
180000,7875,393,1509,63.0
240000,14859,690,1670,50.0
128000,9920,280,1063,80.0
255000,13501,865,1636,116.0
250000,11500,180,2057,86.0
174000,12589,390,1484,149.0
154300,11600,480,2274,80.0
88000,6120,450,1015,51.0
145000,6270,871,2002,82.0
173733,3000,528,1224,30.0
75000,2001,286,1092,21.0
35311,9000,308,480,50.0
238000,13125,833,2127,103.0
176500,11029,601,1414,87.0
201000,8462,471,1721,70.0
169990,10237,397,1316,65.0
193000,8012,533,1617,50.0
207500,10240,612,1686,79.0
285000,11999,656,2374,93.0
201000,8925,610,1466,73.0
117500,9100,429,925,70.0
320000,11670,788,1905,84.0
190000,8487,570,1500,63.0
242000,27650,505,2069,313.0
79900,5825,528,747,52.0
184900,10083,555,1200,67.0
253000,9675,689,1971,75.0
239799,8760,868,1962,73.0
150900,12640,574,1728,55.0
143000,25000,576,1632,100.0
124900,8820,456,1869,98.0
143000,8163,796,1144,70.0
270000,14536,808,1629,85.0
192500,14006,474,1776,65.0
197500,9360,676,1381,78.0
129000,7200,720,864,60.0
119900,7800,300,965,60.0
133900,7200,396,768,60.0
145000,7136,492,1958,82.0
124000,1300,462,1229,24.0
132000,7420,576,1057,70.0
185000,8450,531,1337,65.0
155000,2572,484,1416,24.0
155000,2308,440,1548,24.0
239000,11923,702,1800,122.0
214900,11316,510,1894,80.0
178900,10237,393,1484,65.0
160000,9600,256,1308,130.0
140000,10382,264,1095,75.0
173000,2268,474,1626,36.0
99500,7892,264,918,55.0
182000,11639,480,1428,95.0
167500,11414,532,2019,60.0
199900,4274,569,1241,35.0
110000,9450,400,894,68.0
139000,8816,480,1121,80.0
336000,12203,676,2612,98.0
159895,3182,388,1266,43.0
126000,10125,539,1734,75.0
125000,10880,240,1164,68.0
117000,5310,255,1635,59.0
395192,10159,606,1940,83.0
197000,8125,614,1576,65.0
348000,9452,870,2392,82.0
168000,17671,424,1742,121.0
187000,9760,440,1851,80.0
173900,8846,564,1500,68.0
337500,12456,786,1718,96.0
121600,4712,305,1230,51.0
91000,9786,210,1077,60.0
206000,6762,632,1208,64.0
82000,10206,528,944,74.0
86000,5400,216,691,60.0
232000,11957,824,1574,75.0
181000,3182,457,1504,43.0
149900,8385,328,985,65.0
88000,2217,286,1092,21.0
240000,12118,550,1710,43.0
135000,21286,312,1271,115.0
165000,10592,180,1502,55.0
85000,7200,280,1022,60.0
119200,11664,240,1082,60.0
227000,8400,528,1665,70.0
203000,11883,478,1504,73.0
213490,3013,440,1506,43.0
176000,7024,451,1132,60.0
194000,7406,632,1220,64.0
87000,9439,160,1248,52.0
191000,3182,437,1504,43.0
112500,7700,461,882,70.0
167500,9300,461,1264,73.0
293077,9520,800,1646,71.0
105000,9492,240,1376,79.0
118000,1680,264,1218,21.0
197000,15863,672,3082,102.0
119750,6305,240,954,50.0
315500,12898,912,1620,89.0
80000,1477,286,630,21.0
155000,13125,484,1803,88.0
196000,5381,624,1306,34.0
262280,11839,514,2329,86.0
278000,9600,542,2524,80.0
556581,16056,716,2868,85.0
145000,9245,672,990,57.0
115000,21750,336,1771,100.0
84900,11100,308,930,60.0
176485,8993,436,1302,73.0
200141,11175,440,1316,103.0
165000,9500,540,1977,100.0
144500,8562,364,1526,68.0
255000,11367,586,1989,90.0
180000,11361,478,1523,104.0
185850,7052,484,1364,43.0
335000,11308,836,2184,96.0
213500,4920,582,1338,41.0
81000,18000,1248,894,120.0
90000,13600,560,2337,85.0
110500,6000,440,1103,50.0
328000,14000,533,2260,80.0
178000,7837,380,1571,59.0
167900,9760,442,1611,80.0
151400,3964,576,2521,42.0
135000,9600,576,893,60.0
135000,10152,286,1048,72.0
154000,11700,441,1556,78.0
91500,7585,280,1456,50.0
159500,7950,440,1426,75.0
194000,8556,826,1240,74.0
219500,13125,240,1740,75.0
170000,10800,566,1466,60.0
155900,4435,420,848,37.0
126000,8775,299,990,65.0
145000,11040,528,1258,80.0
133000,7500,308,1040,75.0
192000,8749,527,1459,70.0
160000,8800,461,1251,80.0
147000,9069,564,996,73.0
252000,10574,1043,1953,85.0
137500,2522,380,1709,24.0
197000,3316,550,1247,37.0
92900,8544,400,1040,60.0
160000,2160,462,1252,24.0
136500,8400,576,1694,60.0
146000,9230,884,1200,71.0
129000,5868,308,936,74.0
176432,9317,440,1314,78.0
128000,6000,240,1324,50.0
157000,11880,478,1601,82.0
60000,8400,246,438,60.0
119500,9758,280,950,61.0
135000,7000,254,1134,70.0
159500,8910,539,1194,79.0
106000,2016,440,1302,24.0
325000,12256,712,2622,98.0
179900,10357,719,1442,114.0
274725,23257,422,2021,168.0
280000,11362,862,1836,107.0
205000,10480,483,1964,80.0
129900,7100,308,816,73.0
134500,8923,240,1008,66.0
117000,5400,326,833,90.0
318000,12085,928,1734,93.0
130000,9764,450,894,57.0
140000,13825,300,1601,85.0
133700,7560,286,1040,70.0
118400,8263,308,1012,59.0
212900,10084,782,1552,84.0
115000,10434,672,1005,60.0
174000,3684,660,1555,53.0
259000,14572,630,1530,182.0
215000,11796,434,1959,59.0
140000,7200,672,936,60.0
135000,7804,576,1981,65.0
117500,9900,205,2210,90.0
239500,9828,466,2020,80.0
169000,8773,460,1600,57.0
102000,6180,180,986,60.0
119000,9600,288,1252,80.0
144000,8731,495,1167,98.0
139000,7350,840,952,60.0
424870,9965,1052,2828,77.0
80000,12180,280,924,60.0
149000,6240,225,1576,52.0
174500,12000,234,1564,75.0
143000,9000,324,1482,50.0
124000,8280,306,932,57.0
149900,17755,528,1466,134.0
230000,14115,470,1811,90.0
218000,10768,528,1437,90.0
179900,9350,502,1265,85.0
230000,5001,626,1314,34.0
235128,11932,830,1580,92.0
185000,9120,540,1876,76.0
146000,2280,440,1456,24.0
129000,8724,450,894,109.0
108959,12900,400,1258,60.0
233170,9541,644,1502,79.0
245350,10475,776,1694,64.0
173000,10852,472,1671,58.0
235000,13728,540,2108,120.0
625000,35760,807,3627,118.0
171000,9880,358,1118,76.0
163000,9120,433,1261,76.0
171900,4017,625,1250,35.0
239000,16560,360,2345,80.0
285000,10678,541,2872,85.0
119500,6951,264,923,37.0
154900,7681,186,1343,54.0
392500,5587,482,1652,64.0
745000,15623,813,4476,160.0
120000,10800,720,1130,60.0
186700,35133,995,1572,50.0
104900,9738,392,1221,60.0
95000,10615,420,1699,107.0
262000,12461,757,1624,89.0
195000,8935,493,1660,68.0
189000,7500,442,1804,60.0
174000,2645,492,1441,24.0
125000,9600,250,1472,60.0
158000,9364,299,1352,80.0
176000,8029,400,1456,51.0
219210,14054,660,1863,58.0
144000,8850,225,1690,65.0
178000,9100,573,1212,70.0
148000,11235,459,1382,75.0
116050,9353,280,864,71.0
197900,10400,546,1779,80.0
117000,6000,216,1348,50.0
213000,9750,451,1630,75.0
153500,10140,495,1074,78.0
271900,14684,701,2196,90.0
200000,9135,544,1700,70.0
140000,7763,506,1283,70.0
